Entity,Code,Year,Population Growth Rate Estimates,Population Growth Rate
World,OWID_WRL,1950,1.857,
World,OWID_WRL,1951,1.825,
World,OWID_WRL,1952,1.776,
World,OWID_WRL,1953,1.75,
World,OWID_WRL,1954,1.744,
World,OWID_WRL,1955,1.751,
World,OWID_WRL,1956,1.767,
World,OWID_WRL,1957,1.788,
World,OWID_WRL,1958,1.81,
World,OWID_WRL,1959,1.832,
World,OWID_WRL,1960,1.854,
World,OWID_WRL,1961,1.877,
World,OWID_WRL,1962,1.904,
World,OWID_WRL,1963,1.937,
World,OWID_WRL,1964,1.975,
World,OWID_WRL,1965,2.012,
World,OWID_WRL,1966,2.046,
World,OWID_WRL,1967,2.066,
World,OWID_WRL,1968,2.067,
World,OWID_WRL,1969,2.051,
World,OWID_WRL,1970,2.025,
World,OWID_WRL,1971,1.999,
World,OWID_WRL,1972,1.97,
World,OWID_WRL,1973,1.934,
World,OWID_WRL,1974,1.893,
World,OWID_WRL,1975,1.849,
World,OWID_WRL,1976,1.807,
World,OWID_WRL,1977,1.775,
World,OWID_WRL,1978,1.758,
World,OWID_WRL,1979,1.758,
World,OWID_WRL,1980,1.763,
World,OWID_WRL,1981,1.767,
World,OWID_WRL,1982,1.772,
World,OWID_WRL,1983,1.783,
World,OWID_WRL,1984,1.799,
World,OWID_WRL,1985,1.817,
World,OWID_WRL,1986,1.832,
World,OWID_WRL,1987,1.829,
World,OWID_WRL,1988,1.798,
World,OWID_WRL,1989,1.741,
World,OWID_WRL,1990,1.67,
World,OWID_WRL,1991,1.601,
World,OWID_WRL,1992,1.539,
World,OWID_WRL,1993,1.485,
World,OWID_WRL,1994,1.441,
World,OWID_WRL,1995,1.402,
World,OWID_WRL,1996,1.364,
World,OWID_WRL,1997,1.331,
World,OWID_WRL,1998,1.305,
World,OWID_WRL,1999,1.287,
World,OWID_WRL,2000,1.274,
World,OWID_WRL,2001,1.263,
World,OWID_WRL,2002,1.254,
World,OWID_WRL,2003,1.248,
World,OWID_WRL,2004,1.244,
World,OWID_WRL,2005,1.242,
World,OWID_WRL,2006,1.24,
World,OWID_WRL,2007,1.237,
World,OWID_WRL,2008,1.232,
World,OWID_WRL,2009,1.225,
World,OWID_WRL,2010,1.216,
World,OWID_WRL,2011,1.207,
World,OWID_WRL,2012,1.195,
World,OWID_WRL,2013,1.18,
World,OWID_WRL,2014,1.162,
World,OWID_WRL,2015,1.141,1.141
World,OWID_WRL,2016,,1.12
World,OWID_WRL,2017,,1.098
World,OWID_WRL,2018,,1.076
World,OWID_WRL,2019,,1.054
World,OWID_WRL,2020,,1.032
World,OWID_WRL,2021,,1.009
World,OWID_WRL,2022,,0.987
World,OWID_WRL,2023,,0.965
World,OWID_WRL,2024,,0.944
World,OWID_WRL,2025,,0.924
World,OWID_WRL,2026,,0.903
World,OWID_WRL,2027,,0.883
World,OWID_WRL,2028,,0.864
World,OWID_WRL,2029,,0.845
World,OWID_WRL,2030,,0.827
World,OWID_WRL,2031,,0.809
World,OWID_WRL,2032,,0.791
World,OWID_WRL,2033,,0.774
World,OWID_WRL,2034,,0.758
World,OWID_WRL,2035,,0.741
World,OWID_WRL,2036,,0.725
World,OWID_WRL,2037,,0.709
World,OWID_WRL,2038,,0.694
World,OWID_WRL,2039,,0.679
World,OWID_WRL,2040,,0.664
World,OWID_WRL,2041,,0.65
World,OWID_WRL,2042,,0.636
World,OWID_WRL,2043,,0.621
World,OWID_WRL,2044,,0.606
World,OWID_WRL,2045,,0.592
World,OWID_WRL,2046,,0.577
World,OWID_WRL,2047,,0.563
World,OWID_WRL,2048,,0.548
World,OWID_WRL,2049,,0.534
World,OWID_WRL,2050,,0.519
World,OWID_WRL,2051,,0.505
World,OWID_WRL,2052,,0.491
World,OWID_WRL,2053,,0.477
World,OWID_WRL,2054,,0.463
World,OWID_WRL,2055,,0.45
World,OWID_WRL,2056,,0.436
World,OWID_WRL,2057,,0.424
World,OWID_WRL,2058,,0.411
World,OWID_WRL,2059,,0.4
World,OWID_WRL,2060,,0.389
World,OWID_WRL,2061,,0.378
World,OWID_WRL,2062,,0.368
World,OWID_WRL,2063,,0.358
World,OWID_WRL,2064,,0.348
World,OWID_WRL,2065,,0.339
World,OWID_WRL,2066,,0.33
World,OWID_WRL,2067,,0.321
World,OWID_WRL,2068,,0.312
World,OWID_WRL,2069,,0.303
World,OWID_WRL,2070,,0.295
World,OWID_WRL,2071,,0.287
World,OWID_WRL,2072,,0.278
World,OWID_WRL,2073,,0.27
World,OWID_WRL,2074,,0.262
World,OWID_WRL,2075,,0.254
World,OWID_WRL,2076,,0.246
World,OWID_WRL,2077,,0.239
World,OWID_WRL,2078,,0.231
World,OWID_WRL,2079,,0.224
World,OWID_WRL,2080,,0.217
World,OWID_WRL,2081,,0.21
World,OWID_WRL,2082,,0.203
World,OWID_WRL,2083,,0.196
World,OWID_WRL,2084,,0.19
World,OWID_WRL,2085,,0.184
World,OWID_WRL,2086,,0.177
World,OWID_WRL,2087,,0.171
World,OWID_WRL,2088,,0.165
World,OWID_WRL,2089,,0.159
World,OWID_WRL,2090,,0.153
World,OWID_WRL,2091,,0.146
World,OWID_WRL,2092,,0.14
World,OWID_WRL,2093,,0.134
World,OWID_WRL,2094,,0.128
World,OWID_WRL,2095,,0.121
World,OWID_WRL,2096,,0.115
World,OWID_WRL,2097,,0.108
World,OWID_WRL,2098,,0.101
World,OWID_WRL,2099,,0.094
